;; -*- coding: utf-8-mcs-er -*-
HZK12-A567	&HZK12-A567;	⿺&C2-5D36;&B-A6E4;
HZK12-A568	&HZK12-A568;	⿺風⿱⿰口口&CDP-86A8;
HZK12-A569	&HZK12-A569;	⿺風⿱&CDP-8D60;元
HZK12-A56A	&HZK12-A56A;	⿺風劉
HZK12-A56B	&HZK12-A56B;	⿰劉風
HZK12-A56C	&HZK12-A56C;	⿰&B-E8F0;風
HZK12-A56D	&HZK12-A56D;	⿺風巤
HZK12-A56E	&HZK12-A56E;	⿺風歷
HZK12-A56F	&HZK12-A56F;	⿺風盧
HZK12-A570	&HZK12-A570;	⿺風⿰斤斤&B-AAF7;
HZK12-A571	&HZK12-A571;	⿺風&B-C073;
HZK12-A572	&HZK12-A572;	⿺風&M-32147;
HZK12-A574	&HZK12-A574;	⿺風蕭
HZK12-A575	&HZK12-A575;	⿰燮風
HZK12-A576	&HZK12-A576;	⿰聶風
HZK12-A577	&HZK12-A577;	&CDP-8B56;囟一火風
HZK12-A578	&HZK12-A578;	⿱風⿰風風
HZK12-A579	&HZK12-A579;	⿱風⿺風&CDP-89FB;
HZK12-A57A	&HZK12-A57A;	⿱⿰風風⿰風風
HZK12-A5A6	&HZK12-A5A6;	⿱⿺風&B-B0AD;⿰&M-01477;&M-01477;
HZK12-A5A7	&HZK12-A5A7;	⿱&B-F9B0;⿰⿲习习习流
HZK12-A5A8	&HZK12-A5A8;	⿰⿱&B-F171;⿲&B-A8A8;&B-A8A8;&B-A8A8;風
HZK12-A5C7	&HZK12-A5C7;	⿰&B-ADB5;工
HZK12-A5C8	&HZK12-A5C8;	⿰&B-ADB5;勺
HZK12-A5C9	&HZK12-A5C9;	⿰&B-ADB5;也
HZK12-A5CA	&HZK12-A5CA;	⿺元&B-ADB5;
HZK12-A5CB	&HZK12-A5CB;	⿰&B-ADB5;帀
HZK12-A5CC	&HZK12-A5CC;	⿰&B-ADB5;&GT-27544;
HZK12-A5CD	&HZK12-A5CD;	⿰&B-ADB5;斤
HZK12-A5CE	&HZK12-A5CE;	⿰&B-ADB5;今
HZK12-A5CF	&HZK12-A5CF;	⿰&B-ADB5;&C3-2156;
HZK12-A5D0	&HZK12-A5D0;	⿰&B-ADB5;包
HZK12-A5D1	&HZK12-A5D1;	⿰&B-ADB5;弗
HZK12-C968	&HZK12-C968;	⿰常&B-B3BE;
HZK12-C96A	&HZK12-C96A;	⿱眽&B-B3BE;
HZK12-C96B	&HZK12-C96B;	⿰&B-B3BE;婁
HZK12-C96E	&HZK12-C96E;	⿱略&B-B3BE;
HZK12-C96F	&HZK12-C96F;	⿰唯&B-B3BE;
HZK12-C971	&HZK12-C971;	⿰崔&B-B3BE;
HZK12-C972	&HZK12-C972;	⿰崇&B-B3BE;
HZK12-C973	&HZK12-C973;	⿰贝贝女&CDP-8A52;
HZK12-C974	&HZK12-C974;	⿰梨&B-B3BE;
HZK12-C976	&HZK12-C976;	⿱敏&B-B3BE;
