;; -*- coding: utf-8-mcs-er -*-
U+2EC90	𮲐	⿱执云
U+2EC91	𮲑	⿰扌𬺞
U+2EC92	𮲒	⿱啟手
U+2EC93	𮲓	⿰由攵
U+2EC94	𮲔	⿰岂攵
U+2EC95	𮲕	⿰亩攵
U+2EC96	𮲖	⿱罒文
U+2EC97	𮲗	⿱昍文
U+2EC98	𮲘	⿰方昕
U+2EC99	𮲙	⿰方金
U+2EC9A	𮲚	⿰日万
U+2EC9B	𮲛	⿰日义
U+2EC9C	𮲜	⿰日戈
U+2EC9D	𮲝	⿰日夭
U+2EC9E	𮲞	⿱日本
U+2EC9F	𮲟	⿰日页
U+2ECA0	𮲠	⿰日宇
U+2ECA1	𮲡	⿱日共
U+2ECA2	𮲢	⿱日衣
U+2ECA3	𮲣	⿰日㞵
U+2ECA4	𮲤	⿱日金
U+2ECA5	𮲥	⿰日亭
U+2ECA6	𮲦	⿰日叟
U+2ECA7	𮲧	⿰日峯
U+2ECA8	𮲨	⿰日宾
U+2ECA9	𮲩	⿰日莹
U+2ECAA	𮲪	⿰月𫢉
U+2ECAB	𮲫	⿰月先
U+2ECAC	𮲬	⿰木太
U+2ECAD	𮲭	⿱木从
U+2ECAE	𮲮	⿰木双
U+2ECAF	𮲯	⿰木以
U+2ECB0	𮲰	⿰木毕
U+2ECB1	𮲱	⿱⿱㐅⿰㐅㐅木
U+2ECB2	𮲲	⿰木庆
U+2ECB3	𮲳	⿰木步
U+2ECB4	𮲴	⿰木⿱分支
U+2ECB5	𮲵	⿰木鱼
U+2ECB6	𮲶	⿰木贱
U+2ECB7	𮲷	⿰木闻
U+2ECB8	𮲸	⿰木养
U+2ECB9	𮲹	⿰木⿱罒羽
U+2ECBA	𮲺	⿰木颉
U+2ECBB	𮲻	⿰木窜
U+2ECBC	𮲼	⿰木磐
U+2ECBD	𮲽	⿰木𦾈
U+2ECBE	𮲾	⿰章欠
U+2ECBF	𮲿	⿱正𰙤
U+2ECC0	𮳀	⿰殳攵
U+2ECC1	𮳁	⿺毛全
U+2ECC2	𮳂	⿺毛我
U+2ECC3	𮳃	⿰氵义
U+2ECC4	𮳄	⿰氵双
U+2ECC5	𮳅	⿰氵亚
U+2ECC6	𮳆	⿰氵华
U+2ECC7	𮳇	⿰氵灾
U+2ECC8	𮳈	⿰氵陈
U+2ECC9	𮳉	⿰氵杰
U+2ECCA	𮳊	⿰氵怡
U+2ECCB	𮳋	⿰氵𭕛
U+2ECCC	𮳌	⿰氵珂
U+2ECCD	𮳍	⿰氵阁
U+2ECCE	𮳎	⿰氵⿵门米
U+2ECCF	𮳏	⿰氵宪
U+2ECD0	𮳐	⿰氵晨
U+2ECD1	𮳑	⿰氵𤽤
U+2ECD2	𮳒	⿰氵𢽍
U+2ECD3	𮳓	⿱啟水
U+2ECD4	𮳔	⿰氵雁
U+2ECD5	𮳕	⿱埔𱥯
U+2ECD6	𮳖	⿰氵献
U+2ECD7	𮳗	⿰氵输
U+2ECD8	𮳘	⿰氵萮
U+2ECD9	𮳙	⿰氵蔺
U+2ECDA	𮳚	⿰火于
U+2ECDB	𮳛	⿰火飞
U+2ECDC	𮳜	⿰火习
U+2ECDD	𮳝	⿰火巿
U+2ECDE	𮳞	⿰火厅
U+2ECDF	𮳟	⿰火月
U+2ECE0	𮳠	⿰火风
U+2ECE1	𮳡	⿰火凤
U+2ECE2	𮳢	⿰火㝉
U+2ECE3	𮳣	⿰火东
U+2ECE4	𮳤	⿰火句
U+2ECE5	𮳥	⿰火老
U+2ECE6	𮳦	⿰火回
U+2ECE7	𮳧	⿰火乔
