;; -*- coding: utf-8-mcs-er -*-
U-0002F880	嵼	⿰山&GT-27847;
U-0002F881	巡	⿺⻍巛
U-0002F882	巢	⿱巛⿻𦥑木
U-0002F883	㠯	㠯
U-0002F884	巽	⿱⿰巳巳共
U-0002F885	帨	⿰巾兑
U-0002F886	帽	⿰巾冒
U-0002F887	幩	⿰巾賁
U-0002F888	&C7-2D55;	⿰巾⿱⿱冃罒&GT-17214;
U-0002F889	&C7-606E;	⿰巾⿳艹⿲止自巳⿱几夂
U-0002F88A	㡼	⿸&GT-11620;曳
U-0002F88B	&U-0002F88B;	⿸&GT-11620;&C3-2863;
U-0002F88C	庳	⿸&GT-11620;&C4-2553;
U-0002F88D	庶	⿸&GT-11620;⿱龷灬
U-0002F88E	廊	⿸&GT-11620;&AJ1-08635;
U-0002F88F	&C5-455D;	⿸&GT-65257;&AJ1-03724;
U-0002F890	廾	⿰𠂇十
U-0002F891	𢌱	⿱&AJ1-03881;&GT-12077;
U-0002F892	𢌱	⿱&AJ1-03881;廾
U-0002F893	舁	⿱臼&GT-12077;
U-0002F894	弢	⿰弓⿱山&AJ1-03746;
U-0002F895	弢	⿰弓⿱屮&AJ1-03746;
U-0002F896	&C6-2B39;	⿱⿱&GT-12503;&CDP-89A6;巾
U-0002F897	𣊸	⿰曶&UU+38C7;
U-0002F898	&C5-7340;	⿱彑⿰&M-26850;&GT-35174;
U-0002F899	形	⿰&GT-11552;彡
U-0002F89A	&GT-12606;	⿰周彡
U-0002F89B	&M-10116;	⿰彳㚒
U-0002F89C	徚	⿰彳東
U-0002F89D	忍	⿱刃心
U-0002F89E	志	⿱&CDP-8BF1;心
U-0002F89F	忹	⿰忄王
U-0002F8A0	&C6-3136;	⿰忄䏍
U-0002F8A1	&C6-3130;	⿰忄&UU+5DDF;
U-0002F8A2	㤜	⿰忄戌
U-0002F8A3	悔	⿰忄毎
U-0002F8A4	𢛔	⿰忄柬
U-0002F8A5	惇	⿰忄⿳&AJ1-04110;&CDP-89CC;子
U-0002F8A6	&U-0002F8A6;	⿱&GT-40113;心
U-0002F8A7	&U-0002F8A7;	⿰忄⿱&GT-39639;&M-49064;
U-0002F8A8	慎	⿰忄&GT-29752;
U-0002F8A9	&U-0002F8A9;	⿰忄⿱&GT-39639;&AJ1-17246;
U-0002F8AA	&U-0002F8AA;	慺
U-0002F8AB	憎	⿰忄曽
U-0002F8AC	憲	⿱&HZK12-ECD1;心
U-0002F8AD	憤	⿰忄賁
U-0002F8AE	憯	⿰忄⿱&AJ1-21179;日
U-0002F8AF	懞	⿰忄⿱&CDP-85F0;&AJ1-14350;
U-0002F8B0	懲	⿱&GT-12893;心
U-0002F8B1	懶	⿰忄頼
U-0002F8B2	成	⿵戊丁
U-0002F8B3	&C6-4023;	⿱&CDP-8DE0;&J90-5879;
U-0002F8B4	扝	⿰扌亐
U-0002F8B5	抱	⿰扌包
U-0002F8B6	拔	⿰扌&JX2-703B;
U-0002F8B7	&C6-314F;	⿰扌䏍
U-0002F8B8	𢬌	⿰扌⿱丿&JX2-703B;
U-0002F8B9	挽	⿰扌免
U-0002F8BA	&C3-3628;	⿰扌&C3-2863;
U-0002F8BB	捨	⿰扌舎
U-0002F8BC	掃	⿰扌⿳&GT-12503;冖巾
U-0002F8BD	揤	⿰扌&AJ1-13365;
U-0002F8BE	&C6-4930;	⿰扌&UU+53DC;
U-0002F8BF	搢	⿰扌晋
U-0002F8C0	揅	⿱&AJ1-13342;手
U-0002F8C1	掩	⿰扌𡘹
U-0002F8C2	㨮	⿰扌⿱⿲&CDP-8CBD;白&CDP-8C78;几
U-0002F8C3	摩	⿸&GT-65257;手
U-0002F8C4	摾	⿰扌强
U-0002F8C5	撝	⿰扌&GT-25270;
U-0002F8C6	摷	⿰扌巢
U-0002F8C7	㩬	⿰扌&GT-14684;
U-0002F8C8	敏	⿰毎攵
U-0002F8C9	敬	⿰&GT-39889;攵
U-0002F8CA	𣀊	⿰亷攵
U-0002F8CB	旣	&M-13724;
U-0002F8CC	書	書
U-0002F8CD	晉	⿳一&CDP-8D6B;日
U-0002F8CE	㬙	⿰日為
U-0002F8CF	暑	⿱日者
U-0002F8D0	㬈	⿰日𥁕
U-0002F8D1	㫤	⿱日永
U-0002F8D2	冒	⿱日目
U-0002F8D3	冕	⿱日&AJ1-03796;
U-0002F8D4	&GT-18101;	⿱日&AJ1-02324;
U-0002F8D5	&C6-5D5B;	⿱&GT-33217;&GT-18071;
U-0002F8D6	&M-14342;	⿰&GT-18140;&AJ1-13966;
U-0002F8D7	䏙	⿰&GT-18140;冘
U-0002F8D8	朗	⿰&GT-39586;&GT-18140;
U-0002F8D9	望	⿱⿰&AJ1-03682;&GT-18140;王
U-0002F8DA	朡	⿰&GT-18140;㚇
U-0002F8DB	杞	⿰木已
U-0002F8DC	杓	⿰木⿹勹一
U-0002F8DD	𣏃	⿻木&GT-12503;
U-0002F8DE	㭉	⿱卝木
U-0002F8DF	柺	⿰木另
U-0002F8E0	枅	⿰木&GT-11552;
U-0002F8E1	桒	⿱𠦄木
U-0002F8E2	梅	⿰木毎
U-0002F8E3	𣑭	⿰木&C6-2359;
U-0002F8E4	&U-0002F8E4;	⿰木⿱白匕
U-0002F8E5	&C3-3C3A;	⿰木&C3-2863;
U-0002F8E6	椔	⿰木甾
U-0002F8E7	&C5-3F71;	⿰木&AJ1-04319;
U-0002F8E8	楂	⿰木&GT-18586;
U-0002F8E9	榣	⿰木&JX2-7461;
U-0002F8EA	槪	⿰木&M-13724;
U-0002F8EB	檨	⿰木&AJ1-08598;
U-0002F8EC	𣚣	⿰木異
U-0002F8ED	&U-0002F8ED;	⿰木⿱竹&AJ1-13365;
U-0002F8EE	&C7-5823;	⿰木⿳&GT-12503;⿰&GT-34594;&GT-35079;&GT-12077;
U-0002F8EF	&U-0002F8EF;	⿰冫&GT-20571;
U-0002F8F0	&U-0002F8F0;	⿰臾&GT-20571;
U-0002F8F1	&U-0002F8F1;	⿰&GT-44199;&GT-20571;
U-0002F8F2	㱎	⿰⿱⿱罒水魚&GT-20571;
U-0002F8F3	歲	⿱止𫀄
U-0002F8F4	殟	⿰歹昷
U-0002F8F5	殺	⿰杀&GT-21300;
U-0002F8F6	殻	⿺&AJ1-17466;&GT-21300;
U-0002F8F7	&C6-4A4D;	⿰&C5-256C;&GT-21300;
U-0002F8F8	&M-16728;	⿱屮母
U-0002F8F9	𣫺	⿰每⿱&AJ1-17337;⺼
U-0002F8FA	汎	⿰氵𠁽
U-0002F8FB	𣲼	⿰氵⿻冖九
U-0002F8FC	&U-0002F8FC;	⿰氵⿱几口
U-0002F8FD	&C6-2C51;	⿰氵𠥽
U-0002F8FE	汧	⿰氵&GT-11552;
U-0002F8FF	&U-0002F8FF;	⿰氵&AJ1-13760;
U-0002F900	派	&J90-4749;
U-0002F901	海	⿰氵毎
U-0002F902	&U-0002F902;	⿰氵⿳&AJ1-04110;厶&GT-10942;
U-0002F903	浩	⿰氵吿
U-0002F904	浸	⿰氵⿳&GT-12503;冖&AJ1-03746;
U-0002F905	涅	⿰氵⿱日工
U-0002F906	𣴞	𣴞
U-0002F907	洴	⿰氵&C3-2863;
U-0002F908	港	⿰氵⿱共己
U-0002F909	湮	⿰氵⿱&JX2-7845;土
U-0002F90A	㴳	⿰氵⿰土&J90-5578;
U-0002F90B	&U-0002F90B;	⿰氵&GT-40113;
U-0002F90C	滇	⿰氵&GT-29751;
U-0002F90D	𣻑	⿰氵⿰杀&GT-21300;
U-0002F90E	淹	⿰氵𡘹
U-0002F90F	潮	⿰氵&GT-18245;
U-0002F910	𣽞	⿰氵⿱日⿱⿺夂卜口
U-0002F911	𣾎	⿰氵⿳⿻丂叹一灬
U-0002F912	濆	⿰氵賁
U-0002F913	瀹	⿰氵⿳亼罒𠕁
U-0002F914	瀞	⿰氵&GT-57143;
U-0002F915	瀛	⿰氵𡣍
U-0002F916	㶖	⿰氵⿰&CDP-8B7A;⿱夂黑
U-0002F917	灊	⿰氵⿱⿰&GT-17329;&GT-17329;&J90-722F;
U-0002F918	&C6-2C60;	⿱𡿧&GT-24152;
U-0002F919	&C6-2C5D;	⿱&GT-24152;廾
U-0002F91A	炭	⿱山⿸𠂇&GT-24152;
U-0002F91B	𠔥	⿳&GT-39641;&CDP-88BB;灬
U-0002F91C	煅	煅
U-0002F91D	&C6-5459;	⿰&GT-24152;甾
U-0002F91E	熜	⿰&GT-24152;&JSP-3D79;
U-0002F91F	𤎫	⿳&J90-316A;共人
U-0002F920	爨	⿳⿱⿴𦥑同冖林𤆍
U-0002F921	爵	&GT-25313;
U-0002F922	&C6-4161;	⿰&GT-25441;&CDP-8A48;
U-0002F923	&U-0002F923;	⿱&HD-HG-3026;𦥑
U-0002F924	犀	⿸尸⿱水牛
U-0002F925	&C6-5E5E;	&C2-4B6E;
U-0002F926	&C6-3262;	⿰犭&GT-11552;
U-0002F927	𤠔	⿰犭貟
U-0002F928	獺	⿰犭頼
U-0002F929	&M-49299;	王
U-0002F92A	㺬	⿰王&AJ1-03724;
U-0002F92B	&C6-2D24;	⿰王⺼
U-0002F92C	㺸	⿱⿰亻&AJ1-17330;王
U-0002F92D	㺸	⿱⿰亻&AJ1-17330;玉
U-0002F92E	瑇	⿰王⿱龶&GT-21437;
U-0002F92F	瑜	⿰王&AJ1-04216;
U-0002F930	瑱	⿰王&GT-29751;
U-0002F931	璅	⿰王巢
U-0002F932	瓊	⿰王⿳⿱𠂊&AJ1-02344;目夂
U-0002F933	&C6-4221;	⿰&GT-11552;&GT-27544;
U-0002F934	甤	⿰&GT-48747;生
U-0002F935	𤰶	&C5-2E6E;
U-0002F936	甾	⿱𡿧田
U-0002F937	𤲒	⿰田并
U-0002F938	異	⿱田⿳&GT-39639;一&AJ1-03392;
U-0002F939	&C4-3E6C;	⿰由&C3-2863;
