;; -*- coding: utf-8-mcs-er -*-
U-0002A799	𪞙	⿰冫內
U-0002A79A	𪞚	⿰冫今
U-0002A79B	𪞛	⿰冫文
U-0002A79C	𪞜	⿰冫尺
U-0002A79D	𪞝	⿰冫田
U-0002A79E	𪞞	⿰冫白
U-0002A79F	𪞟	⿰冫𠬤
U-0002A7A0	𪞠	⿰冫成
U-0002A7A1	𪞡	⿱古仒
U-0002A7A2	𪞢	⿰冷了
U-0002A7A3	𪞣	⿰冫佘
U-0002A7A4	𪞤	⿰冫厓
U-0002A7A5	𪞥	⿰冫虎
U-0002A7A6	𪞦	⿰冫念
U-0002A7A7	𪞧	⿰冫宗
U-0002A7A8	𪞨	⿰冫胃
U-0002A7A9	𪞩	⿰冷歹
U-0002A7AA	𪞪	⿰冫亭
U-0002A7AB	𪞫	⿲冫匚隹
U-0002A7AC	𪞬	⿰冫釜
U-0002A7AD	𪞭	⿰冫敕
U-0002A7AE	𪞮	⿰冫章
U-0002A7AF	𪞯	⿰冫堯
U-0002A7B0	𪞰	⿰冫零
U-0002A7B1	𪞱	⿰冫豪
U-0002A7B2	𪞲	⿰冫闖
U-0002A7B3	𪞳	⿱十冗
U-0002A7B4	𪞴	⿺几占
U-0002A7B5	𪞵	⿱乖几
U-0002A7B6	𪞶	⿺几計
U-0002A7B7	𪞷	⿵𠘨雪
U-0002A7B8	𪞸	⿶凵𠓛
U-0002A7B9	𪞹	⿰出廾
U-0002A7BA	𪞺	⿰㐫午
U-0002A7BB	𪞻	⿰出忍
U-0002A7BC	𪞼	⿰出乳
U-0002A7BD	𪞽	⿰㐫吳
U-0002A7BE	𪞾	⿰㐫羡
U-0002A7BF	𪞿	⿰㐫農
U-0002A7C0	𪟀	⿰夫刂
U-0002A7C1	𪟁	⿰屯刂
U-0002A7C2	𪟂	⿰刀方
U-0002A7C3	𪟃	⿰犮刂
U-0002A7C4	𪟄	⿰占刀
U-0002A7C5	𪟅	⿰㚐刂
U-0002A7C6	𪟆	⿰屰刂
U-0002A7C7	𪟇	⿰决刂
U-0002A7C8	𪟈	⿰育刂
U-0002A7C9	𪟉	⿰㒵刂
U-0002A7CA	𪟊	⿰者刂
U-0002A7CB	𪟋	⿰𡘆刂
U-0002A7CC	𪟌	⿱頁刀
U-0002A7CD	𪟍	⿰革刂
U-0002A7CE	𪟎	⿰壴刂
U-0002A7CF	𪟏	⿰𦚏刂
U-0002A7D0	𪟐	⿰监刂
U-0002A7D1	𪟑	⿰埀刂
U-0002A7D2	𪟒	⿰分爭
U-0002A7D3	𪟓	⿱⿰方句分
U-0002A7D4	𪟔	⿰族刂
U-0002A7D5	𪟕	⿱刀𡥵
U-0002A7D6	𪟖	⿰⿱⿴口仌吕刂
U-0002A7D7	𪟗	⿰箕刂
U-0002A7D8	𪟘	⿰盡刂
U-0002A7D9	𪟙	⿱加丁
U-0002A7DA	𪟚	⿰丘力
U-0002A7DB	𪟛	⿰皀力
U-0002A7DC	𪟜	⿰名力
U-0002A7DD	𪟝	⿱汍力
U-0002A7DE	𪟞	⿱沙力
U-0002A7DF	𪟟	⿰责力
U-0002A7E0	𪟠	⿰男才
U-0002A7E1	𪟡	⿺⿳⺈田儿力
U-0002A7E2	𪟢	⿰音力
U-0002A7E3	𪟣	⿰男可
U-0002A7E4	𪟤	⿰益力
U-0002A7E5	𪟥	⿰⿱吅𠕁力
U-0002A7E6	𪟦	⿰弄男
U-0002A7E7	𪟧	⿰華力
U-0002A7E8	𪟨	⿰男隹
U-0002A7E9	𪟩	⿱男𤲶
U-0002A7EA	𪟪	⿺乚匕
U-0002A7EB	𪟫	⿱匕天
U-0002A7EC	𪟬	⿱北不
U-0002A7ED	𪟭	⿱比皇
U-0002A7EE	𪟮	⿷匚月
U-0002A7EF	𪟯	⿷匚⿷匚中
U-0002A7F0	𪟰	⿰区𠃓
U-0002A7F1	𪟱	⿷匚里
U-0002A7F2	𪟲	⿷匚佫
U-0002A7F3	𪟳	⿷匚粞
U-0002A7F4	𪟴	⿷匚赣
U-0002A7F5	𪟵	⿱十且
U-0002A7F6	𪟶	⿰午⿱𠂉丨
U-0002A7F7	𪟷	⿰⿱古十乞
U-0002A7F8	𪟸	⿰𠦝丸
U-0002A7F9	𪟹	⿰半尚
U-0002A7FA	𪟺	⿰卓牟
U-0002A7FB	𪟻	⿰半旁
U-0002A7FC	𪟼	⿰索令
U-0002A7FD	𪟽	⿰𠦝俞
U-0002A7FE	𪟾	⿱雔十
U-0002A7FF	𪟿	⿰卒巽
U-0002A800	𪠀	⿱⺊了
U-0002A801	𪠁	⿺未卜
U-0002A802	𪠂	⿰卓卜
U-0002A803	𪠃	⿰⿳⺊冖⿱一贝圣
U-0002A804	𪠄	⿰合卩
U-0002A805	𪠅	⿰又即
U-0002A806	𪠆	⿸厂马
U-0002A807	𪠇	⿸厂电
U-0002A808	𪠈	⿸厂吉
U-0002A809	𪠉	⿸厂并
U-0002A80A	𪠊	⿸厂赤
