;; -*- coding: utf-8-mcs-er -*-
U+313F1	𱏱	⿱入门
U+313F2	𱏲	⿱入邑
U+313F3	𱏳	⿰六卜
U+313F4	𱏴	⿱䒑共
U+313F5	𱏵	⿳⿲冫同𡿨一八
U+313F6	𱏶	⿰具古
U+313F7	𱏷	⿱共⿰共共
U+313F8	𱏸	⿰公端
U+313F9	𱏹	⿻冃丨
U+313FA	𱏺	⿻冂⿱卄一
U+313FB	𱏻	⿵冂⿱厶又
U+313FC	𱏼	⿱咸冉
U+313FD	𱏽	⿱冖⿺元殳
U+313FE	𱏾	⿱冖棟
U+313FF	𱏿	⿰冫口
U+31400	𱐀	⿰冫贝
U+31401	𱐁	⿰冫𪟽
U+31402	𱐂	⿰冫外
U+31403	𱐃	⿰冫兆
U+31404	𱐄	⿰冫员
U+31405	𱐅	⿰冫貝
U+31406	𱐆	⿰冫告
U+31407	𱐇	⿰冫頁
U+31408	𱐈	⿰冫蚕
U+31409	𱐉	⿰冫拳
U+3140A	𱐊	⿰冫竜
U+3140B	𱐋	⿰冫焉
U+3140C	𱐌	⿰冫喜
U+3140D	𱐍	⿶凵米
U+3140E	𱐎	⿶凵呙
U+3140F	𱐏	⿱人⿶凵⿱干丷
U+31410	𱐐	⿱凹别
U+31411	𱐑	⿰出屈
U+31412	𱐒	⿰丐刂
U+31413	𱐓	⿰刀分
U+31414	𱐔	⿰刃刃
U+31415	𱐕	⿲刀刀刀
U+31416	𱐖	⿰刀旦
U+31417	𱐗	⿰刀乍
U+31418	𱐘	⿰⿱二从刂
U+31419	𱐙	⿰产刂
U+3141A	𱐚	⿰甹刂
U+3141B	𱐛	⿰妥刂
U+3141C	𱐜	⿰连刂
U+3141D	𱐝	⿰𠩋⺉
U+3141E	𱐞	⿰𠧢刀
U+3141F	𱐟	⿰卒刂
U+31420	𱐠	⿰参刂
U+31421	𱐡	⿰差刀
U+31422	𱐢	⿰祭刂
U+31423	𱐣	⿰⿱⺈韭刂
U+31424	𱐤	⿰華刂
U+31425	𱐥	⿰⿱來⿸厂爻刂
U+31426	𱐦	⿰磨刂
U+31427	𱐧	⿱劍占
U+31428	𱐨	⿰前畧
U+31429	𱐩	⿱𠂉力
U+3142A	𱐪	⿵门力
U+3142B	𱐫	⿰力石
U+3142C	𱐬	⿰世力
U+3142D	𱐭	⿱世力
U+3142E	𱐮	⿰用力
U+3142F	𱐯	⿰力它
U+31430	𱐰	⿰力克
U+31431	𱐱	⿰直力
U+31432	𱐲	⿰爭力
U+31433	𱐳	⿰审力
U+31434	𱐴	⿱加有
U+31435	𱐵	⿰⿳𠦄田厶力
U+31436	𱐶	⿰力罧
U+31437	𱐷	⿰戊務
U+31438	𱐸	⿺包仆
U+31439	𱐹	⿱勿会
U+3143A	𱐺	⿱勿坏
U+3143B	𱐻	⿺包甪
U+3143C	𱐼	⿰勿畏
U+3143D	𱐽	⿰曹勺
U+3143E	𱐾	⿰馬勿
U+3143F	𱐿	⿰勿爱
U+31440	𱑀	⿱勿顽
U+31441	𱑁	⿹勹熏
U+31442	𱑂	⿱勿頑
U+31443	𱑃	⿰包會
U+31444	𱑄	⿰匕𭗼
U+31445	𱑅	⿰𠤕余
U+31446	𱑆	⿱匡央
U+31447	𱑇	⿰匡光
U+31448	𱑈	⿰署匠
U+31449	𱑉	⿷匚赣
U+3144A	𱑊	⿷匸冷
U+3144B	𱑋	⿷匚浛
U+3144C	𱑌	⿷匚惹
U+3144D	𱑍	⿰區⿱&CDP-88A5;回
U+3144E	𱑎	⿱亦十
U+3144F	𱑏	⿱𭁈𰀁
U+31450	𱑐	⿺逐什
U+31451	𱑑	⿰改卖
U+31452	𱑒	⿱午猪
U+31453	𱑓	⿳亠口畢
U+31454	𱑔	⿱辟午
U+31455	𱑕	⿺辶⿰萬十
