;; -*- coding: utf-8-mcs-er -*-
HZK10-A661	&HZK10-A661;	⿳&CDP-8B5B;一&B-A8BD;
HZK10-A662	&HZK10-A662;	⿰&B-A8BD;也
HZK10-A663	&HZK10-A663;	⿰&GT-09425;&B-A8BD;
HZK10-A664	&HZK10-A664;	⿱&CDP-8BE2;&B-A8BD;
HZK10-A665	&HZK10-A665;	⿰月&B-A8BD;
HZK10-A6C3	&HZK10-A6C3;	凵口&B-A8BD;
HZK10-A6C4	&HZK10-A6C4;	⿱必&B-A8BD;
HZK10-A6C5	&HZK10-A6C5;	⿳&GT-00376;从&B-A8BD;
HZK10-A6C6	&HZK10-A6C6;	⿱來&B-A8BD;
HZK10-A6C7	&HZK10-A6C7;	是&B-A8BD;
HZK10-A6C8	&HZK10-A6C8;	⿰&B-ADAB;疌
HZK10-A6E3	&HZK10-A6E3;	⿳⿰&B-A8BD;&B-A8BD;𠮛
HZK10-C9C4	&HZK10-C9C4;	⻎&GT-50811;
HZK10-C9C5	&HZK10-C9C5;	⻎&CDP-8DA3;
HZK10-C9C6	&HZK10-C9C6;	⻎𠂆&CDP-89ED;
HZK10-C9C8	&HZK10-C9C8;	⻎希
HZK10-C9C9	&HZK10-C9C9;	⻎&GT-01760;
HZK10-C9CA	&HZK10-C9CA;	⻎𠯑
HZK10-C9CB	&HZK10-C9CB;	⻎匕用
HZK10-C9CC	&HZK10-C9CC;	⻎免
HZK10-C9E4	&HZK10-C9E4;	⻎&B-A8A4;
HZK10-C9E6	&HZK10-C9E6;	⻎&GT-07201;止
HZK10-C9E7	&HZK10-C9E7;	⻎&CDP-8B5B;冖巾
HZK10-CA45	&HZK10-CA45;	⻎&GT-11620;&CDP-8B6D;
HZK10-CA46	&HZK10-CA46;	⻎&GT-11620;火
HZK10-CA47	&HZK10-CA47;	⻎𠫓廾
HZK10-CA48	&HZK10-CA48;	⻎&CDP-8C50;
HZK10-CA49	&HZK10-CA49;	⻎弟
HZK10-CA4B	&HZK10-CA4B;	⻎&CDP-8B69;田
HZK10-A764	&HZK10-A764;	⿱一&B-A8AC;
HZK10-A765	&HZK10-A765;	⿰&CDP-8B6B;乚
HZK10-A766	&HZK10-A766;	⿰&CDP-8B6B;十
HZK10-A767	&HZK10-A767;	⿰&CDP-8B6B;丁
HZK10-A768	&HZK10-A768;	⿰&B-A8AC;刂
HZK10-A769	&HZK10-A769;	⿰&CDP-8B6B;卜
HZK10-A76B	&HZK10-A76B;	⿱&GT-01850;&B-A8AC;
HZK10-A76C	&HZK10-A76C;	⿰&CDP-8B6B;几
HZK10-A76D	&HZK10-A76D;	⿰&CDP-8B6B;丩
HZK10-A76E	&HZK10-A76E;	⿰&CDP-8B6B;干
HZK10-A770	&HZK10-A770;	⿰&CDP-8B6B;亏
HZK10-A7A6	&HZK10-A7A6;	⿰&CDP-8B6B;丌
HZK10-A7A7	&HZK10-A7A7;	⿰&CDP-8B6B;兀
HZK10-A7A8	&HZK10-A7A8;	&CDP-8B6B;一几
HZK10-A7A9	&HZK10-A7A9;	&CDP-8B6B;一&CDP-88B6;
HZK10-A7AA	&HZK10-A7AA;	⿱万&B-A8AC;
HZK10-A7AB	&HZK10-A7AB;	⿰&CDP-8B6B;山
HZK10-A7AC	&HZK10-A7AC;	⿰&CDP-8B6B;乇
HZK10-A7AE	&HZK10-A7AE;	⿱&CDP-8AFC;&B-A8AC;
HZK10-A7B1	&HZK10-A7B1;	⿰&CDP-8B6B;卂
HZK10-A7B2	&HZK10-A7B2;	&CDP-8B6B;乙十
HZK10-A7B3	&HZK10-A7B3;	尸&B-A8AC;
HZK10-A7B4	&HZK10-A7B4;	⿰&CDP-8B6B;已
HZK10-A7B5	&HZK10-A7B5;	⿰&CDP-8B6B;&GT-03947;
HZK10-A7B6	&HZK10-A7B6;	⿰&CDP-8B6B;丰
HZK10-A7B7	&HZK10-A7B7;	⿰&CDP-8B6B;亓
HZK10-A7C8	&HZK10-A7C8;	⿰&CDP-8B6B;元
HZK10-A7C9	&HZK10-A7C9;	⿰&CDP-8B6B;廿
