;; -*- coding: utf-8-mcs-er -*-
C1-4557	&I-C1-4557;	爪
C1-4558	&I-C1-4558;	&GT-25337;
C1-4559	&I-C1-4559;	爻
C1-455A	&C1-455A;	&C1-455A;
C1-455B	&M-19909;	&M-19909;
C1-455C	&I-C1-455C;	牛
C1-455D	&I-C1-455D;	犬
C1-455E	&I-C1-455E;	王
C1-455F	&I-C1-455F;	⿱一内
C1-4560	&I-C1-4560;	世
C1-4561	&I-C1-4561;	⿱不一
C1-4562	&I-C1-4562;	且
C1-4563	&I-C1-4563;	丘
C1-4564	&I-C1-4564;	⿱丶王
C1-4565	&I-C1-4565;	乍
C1-4566	&I-C1-4566;	⿱丿之
C1-4567	&I-C1-4567;	乎
C1-4568	&C1-4568;	⿰&CDP-89EB;人
C1-4569	&I-C1-4569;	⿰⺅寸
C1-456A	&I-C1-456A;	⿰⺅子
C1-456B	&I-C1-456B;	⿰⺅士
C1-456C	&C1-456C;	⿰⺅&C1-443E;
C1-456D	&I-C1-456D;	⿰⺅丈
C1-456E	&I-C1-456E;	⿰⺅弋
C1-456F	&GT-K01023;	⿱&CDP-8AFC;龴
C1-4570	&I-C1-4570;	⿰⺅山
C1-4571	&C1-4571;	⿰⺅&C1-4443;
C1-4572	&I-C1-4572;	⿱𠫓儿
C1-4573	&I-C1-4573;	⿱口儿
C1-4574	&I-C1-4574;	&GT-01993;
C1-4575	&I-C1-4575;	冊
C1-4576	&I-C1-4576;	⿱夂&CDP-8971;
C1-4577	&I-C1-4577;	凹
C1-4578	&I-C1-4578;	⿱屮凵
C1-4579	&I-C1-4579;	凸
C1-457A	&I-C1-457A;	⿰干刂
C1-457B	&I-C1-457B;	⿰力口
C1-457C	&I-C1-457C;	⿰工力
C1-457D	&I-C1-457D;	⿻勹巳
C1-457E	&I-C1-457E;	⿹勹&CDP-89D5;
C1-4621	&C1-4621;	⿰&CDP-8BC5;匕
C1-4622	&I-C1-4622;	⿷匚巾
C1-4623	&I-C1-4623;	⿰⺅千
C1-4624	&I-C1-4624;	&GT-03470;
C1-4625	&I-C1-4625;	⿱十廾
C1-4626	&I-C1-4626;	⿱上卜
C1-4627	&I-C1-4627;	⿱⺊囗
C1-4628	&I-C1-4628;	⿰&CDP-8D41;卩
C1-4629	&I-C1-4629;	⿸𠂋㔾
C1-462A	&I-C1-462A;	⿱土厶
C1-462B	&I-C1-462B;	⿹&CDP-8974;口
C1-462C	&I-C1-462C;	⿱十口
C1-462D	&I-C1-462D;	⿸𠂇口
C1-462E	&I-C1-462E;	⿱刀口
C1-462F	&I-C1-462F;	⿰口丁
C1-4630	&I-C1-4630;	⿰口卩
C1-4631	&I-C1-4631;	⿰口刀
C1-4632	&I-C1-4632;	⿰口刁
C1-4633	&I-C1-4633;	⿹⿹𠃌一口
C1-4634	&I-C1-4634;	⿷匚口
C1-4635	&C1-4635;	⿰口&GT-K00068;
C1-4636	&I-C1-4636;	⿱口力
C1-4637	&I-C1-4637;	⿱口&GT-K00059;
C1-4638	&I-C1-4638;	&GT-04122;
C1-4639	&I-C1-4639;	⿰口七
C1-463A	&I-C1-463A;	⿱厶口
C1-463B	&I-C1-463B;	⿹勹口
C1-463C	&C1-463C;	⿰口&C1-442C;
C1-463D	&I-C1-463D;	⿰口力
C1-463E	&C1-463E;	&C1-463E;
C1-463F	&I-C1-463F;	⿴囗人
C1-4640	&I-C1-4640;	⿰夕卜
C1-4641	&I-C1-4641;	央
C1-4642	&I-C1-4642;	⿰丿夫
C1-4643	&C1-4643;	⿰&C1-444C;又
C1-4644	&C1-4644;	⿰&C1-444C;乃
C1-4645	&I-C1-4645;	⿱乃子
C1-4646	&I-C1-4646;	⿱宀匕
C1-4647	&C1-4647;	⿸尸匕
C1-4648	&M-08722;	&M-08722;
C1-4649	&I-C1-4649;	⿰工丂
C1-464A	&I-C1-464A;	⿸𠂇工
C1-464B	&I-C1-464B;	⿱亠巾
C1-464C	&I-C1-464C;	⿸𠂇巾
C1-464D	&I-C1-464D;	⿱⿱一丷十
C1-464E	&I-C1-464E;	⿰幺力
C1-464F	&I-C1-464F;	⿱厶廾
C1-4650	&I-C1-4650;	⿰弓厶
C1-4651	&I-C1-4651;	弗
C1-4652	&I-C1-4652;	必
C1-4653	&I-C1-4653;	戊
C1-4654	&I-C1-4654;	⿰⺘丁
C1-4655	&I-C1-4655;	⿰⺘乃
C1-4656	&C1-4656;	⿰⺘&C1-442C;
C1-4657	&I-C1-4657;	⿰⺘卜
C1-4658	&C1-4658;	&C1-4658;
C1-4659	&I-C1-4659;	⿱日一
C1-465A	&I-C1-465A;	⿸𣎳丶
C1-465B	&I-C1-465B;	本
C1-465C	&I-C1-465C;	未
C1-465D	&I-C1-465D;	末
C1-465E	&I-C1-465E;	⿰木乚
C1-465F	&I-C1-465F;	⿱一止
C1-4660	&I-C1-4660;	母
C1-4661	&I-C1-4661;	民
C1-4662	&I-C1-4662;	⿱氏一
C1-4663	&I-C1-4663;	永
C1-4664	&I-C1-4664;	⿰⺡十
C1-4665	&I-C1-4665;	⿰⺡丁
C1-4666	&I-C1-4666;	⿰⺡㔾
C1-4667	&I-C1-4667;	⿰⺨㔾
C1-4668	&I-C1-4668;	玄
C1-4669	&I-C1-4669;	玉
C1-466A	&C1-466A;	&C1-466A;
C1-466B	&I-C1-466B;	&GT-27544;
C1-466C	&I-C1-466C;	甘
C1-466D	&I-C1-466D;	生
C1-466E	&I-C1-466E;	用
C1-466F	&I-C1-466F;	⿵冂&CDP-8A43;
C1-4670	&I-C1-4670;	田
C1-4671	&I-C1-4671;	由
C1-4672	&I-C1-4672;	甲
C1-4673	&I-C1-4673;	申
C1-4674	&I-C1-4674;	疋
C1-4675	&I-C1-4675;	白
C1-4676	&I-C1-4676;	皮
C1-4677	&I-C1-4677;	皿
C1-4678	&I-C1-4678;	目
C1-4679	&I-C1-4679;	矛
C1-467A	&I-C1-467A;	矢
C1-467B	&I-C1-467B;	石
C1-467C	&M-24623;	&M-24623;
C1-467D	&I-C1-467D;	禾
C1-467E	&C1-467E;	&C1-467E;
C1-4721	&I-C1-4721;	&C1-4721;
C1-4722	&I-C1-4722;	⿱氶一
C1-4723	&I-C1-4723;	⿱一去
C1-4724	&I-C1-4724;	⿱丘丿
C1-4725	&I-C1-4725;	⿱丘丶
C1-4726	&I-C1-4726;	⿰占乚
C1-4727	&I-C1-4727;	⿴二&CDP-8959;
C1-4728	&I-C1-4728;	⿱亠父
C1-4729	&I-C1-4729;	⿱亠&CDP-8CB5;
C1-472A	&I-C1-472A;	⿳亠&GT-00154;人
C1-472B	&I-C1-472B;	⿰⺅方
C1-472C	&I-C1-472C;	⿰⺅亢
C1-472D	&C1-472D;	⿰⺅火
