;; -*- coding: utf-8-mcs-er -*-
M-49030 	&I-M-49030;	⿸&U-i001+2059C;示
M-49031 	&M-49031;	
M-49032 	&I-M-49032;	⿴&U-i002+21B5D;白
M-49033 	&M-49033;	⿺尢左
M-49034 	&I-M-49034;	⿺尢虫
M-49035 	&I-M-49035;	⿺&CDP-8DEF;皮
M-49036 	&M-49036;	
M-49037 	&I-M-49037;	⿺尢㞷
M-49038 	&I-M-49038;	⿺⺏㞷
M-49039 	&I-M-49039;	⿺⺏奄
M-49040 	&I-M-49040;	⿺⺏畏
M-49041 	&I-M-49041;	⿺尣&AJ1-02062;
M-49042 	&M-49042;	
M-49043 	&I-M-49043;	⿸&U-i001+21C3B;刀
M-49044 	&M-49044;	
M-49045 	&I-M-49045;	⿳&U-i001+56DF;一𡳾
M-49046 	&I-M-49046;	⿱山山
M-49047 	&I-M-49047;	⿱山幺
M-49048 	&I-M-49048;	⿰丸山
M-49049 	&I-M-49049;	⿱山⿴⿱𠆢丫丶
M-49050 	&M-49050;	
M-49051 	&M-49051;	
M-49052 	&I-M-49052;	⿱卽山
M-49053 	&M-49053;	
M-49054 	&I-M-49054;	⿰山原
M-49055 	&M-49055;	⿰山&AJ1-05065;
M-49056 	&I-M-49056;	⿱單山
M-49057 	&M-49057;	⿰山罪
M-49058 	&M-49058;	
M-49059 	&M-49059;	
M-49060 	&I-M-49060;	⿰山𢀩
M-49061 	&M-49061;	⿰山龍
M-49062 	&M-49062;	
M-49063 	&I-M-49063;	⿱亾巛
M-49064 	&I-M-49064;	⿱亾𫶧
M-49065 	&M-49065;	⿱&MJ006462;𫶧
M-49066 	&M-49066;	
M-49067 	&I-M-49067;	⿰巾君
M-49068 	&M-49068;	
M-49069 	&I-M-49069;	⿱叔巾
M-49070 	&I-M-49070;	
M-49071 	&I-M-49071;	
M-49072 	&M-49072;	
M-49073 	&I-M-49073;	⿰𬃷幵
M-49074 	&I-M-49074;	⿰幺𠄏
M-49075 	&I-M-49075;	⿱邵𢆯
M-49076 	&I-M-49076;	
M-49077 	&I-M-49077;	⿸广㲃
M-49078 	&M-49078;	⿸广歛
M-49079 	&I-M-49079;	⿱与廾
M-49080 	&I-M-49080;	
M-49081 	&M-49081;	
M-49082 	&I-M-49082;	⿱&GT-K11083;𢍱
M-49083 	&I-M-49083;	
M-49084 	&I-M-49084;	
M-49085 	&I-M-49085;	⿹弓⿲⿳人人丨⿳人人丨⿳人人丨
M-49086 	&I-M-49086;	⿰弓𦎧
M-49087 	&I-M-49087;	⿱⿲弓每弓⿲弓畐弓
M-49088 	&I-M-49088;	⿱&AJ1-15391;&U-i005+22053;
M-49089 	&I-M-49089;	⿰㣇帇
M-49090 	&I-M-49090;	⿰曶&U-i013+38C7;
M-49091 	&I-M-49091;	⿰曶㣇
M-49092 	&M-49092;	⿰彳&U-i003+66B4;
M-49093 	&I-M-49093;	⿱土心
M-49094 	&I-M-49094;	⿰忄𡉄
M-49095 	&M-49095;	
M-49096 	&I-M-49096;	⿰忄叏
M-49097 	&I-M-49097;	⿱白心
M-49098 	&I-M-49098;	⿰忄圭
M-49099 	&I-M-49099;	⿱𦥓心
M-49100 	&I-M-49100;	⿰忄狂
M-49101 	&I-M-49101;	⿱孛心
M-49102 	&I-M-49102;	⿰忄奉
M-49103 	&I-M-49103;	⿱⺻⿰心卪
M-49104 	&I-M-49104;	⿰忄敄
M-49105 	&I-M-49105;	⿱民思
M-49106 	&I-M-49106;	⿰恧&MJ006315;
M-49107 	&I-M-49107;	⿰忄悶
M-49108 	&I-M-49108;	⿰忄閑
M-49109 	&I-M-49109;	⿰忄𧰲
M-49110 	&I-M-49110;	⿰忄㫺
M-49111 	&M-49111;	
M-49112 	&M-49112;	
M-49113 	&I-M-49113;	⿱隋心
M-49114 	&M-49114;	
M-49115 	&I-M-49115;	⿰忄㷠
M-49116 	&I-M-49116;	⿱𣦼悲
M-49117 	&I-M-49117;	⿰忄麇
M-49118 	&M-49118;	
M-49119 	&I-M-49119;	⿰戈𠃨
M-49120 	&M-49120;	
M-49121 	&I-M-49121;	⿹戈含
M-49122 	&I-M-49122;	⿹𢦏&MJ008132;
M-49123 	&I-M-49123;	⿹⿰㞱戈火
M-49124 	&M-49124;	⿰⿱晋火戈
M-49125 	&M-49125;	
M-49126 	&I-M-49126;	⿰扌瓦
M-49127 	&I-M-49127;	⿰扌&U-i001+2CED1;
M-49128 	&I-M-49128;	⿰扌印
M-49129 	&I-M-49129;	⿰扌&U-i001+20A14;
M-49130 	&I-M-49130;	⿱恆手
M-49131 	&I-M-49131;	⿰扌𤼩
M-49132 	&M-49132;	
M-49133 	&M-49133;	
M-49134 	&M-49134;	⿰扌䖏
M-49135 	&I-M-49135;	⿰扌&U-i004+7F95;
M-49136 	&I-M-49136;	⿰扌&GT-K10656;
M-49137 	&M-49137;	
M-49138 	&I-M-49138;	⿰扌𡲬
M-49139 	&I-M-49139;	
M-49140 	&I-M-49140;	⿰扌𪉷
M-49141 	&M-49141;	
M-49142 	&I-M-49142;	⿰合攵
M-49143 	&M-49143;	
M-49144 	&I-M-49144;	⿰昬攵
M-49145 	&I-M-49145;	
M-49146 	&I-M-49146;	⿸𢾞山
M-49147 	&M-49147;	
M-49148 	&I-M-49148;	⿰&U-i003+5807;斤
M-49149 	&M-49149;	
M-49150 	&I-M-49150;	⿰日&MJ006315;
M-49151 	&I-M-49151;	⿱⿺日𠃊勿
M-49152 	&I-M-49152;	⿰日昔
M-49153 	&I-M-49153;	⿳⿰彐彐冖日
M-49154 	&I-M-49154;	⿱𡎐日
M-49155 	&I-M-49155;	⿱日&U-v001+20336;
M-49156 	&I-M-49156;	⿱&GT-K09590;糸
M-49157 	&I-M-49157;	⿱&U-i001+211A8;亾
M-49158 	&I-M-49158;	⿽朙亡
M-49159 	&I-M-49159;	
M-49160 	&I-M-49160;	
M-49161 	&I-M-49161;	⿰木叧
M-49162 	&I-M-49162;	⿰木另
M-49163 	&I-M-49163;	⿰木𠕋
M-49164 	&I-M-49164;	⿰木&GT-02003;
M-49165 	&I-M-49165;	⿰木舛
M-49166 	&I-M-49166;	⿰木𠄢
M-49167 	&I-M-49167;	⿹𢦒木
M-49168 	&I-M-49168;	⿰木𥃩
M-49169 	&I-M-49169;	⿱不束
M-49170 	&I-M-49170;	⿰木忝
M-49171 	&I-M-49171;	⿰木奈
M-49172 	&M-49172;	⿱木甾
M-49173 	&I-M-49173;	⿰木盇
M-49174 	&I-M-49174;	⿰木&U-i001+21568;
M-49175 	&M-49175;	
M-49176 	&I-M-49176;	⿰木殺
M-49177 	&I-M-49177;	⿰木荁
M-49178 	&I-M-49178;	
M-49179 	&M-49179;	
M-49180 	&M-49180;	
M-49181 	&M-49181;	
M-49182 	&M-49182;	
M-49183 	&M-49183;	
M-49184 	&I-M-49184;	⿰喿冘
M-49185 	&M-49185;	
M-49186 	&I-M-49186;	⿰木䝿
M-49187 	&M-49187;	
M-49188 	&I-M-49188;	⿴𣞤亡
M-49189 	&I-M-49189;	⿰木㞡
M-49190 	&I-M-49190;	⿰木𣍘
M-49191 	&I-M-49191;	⿶⿳林罒𡬠缶
M-49192 	&M-49192;	⿰&AJ1-03381;欠
M-49193 	&I-M-49193;	⿰&AJ1-06295;欠
M-49194 	&M-49194;	⿰&CDP-v001-88B1;&MJ014824;
M-49195 	&I-M-49195;	⿰⿱彡止𣎵
M-49196 	&I-M-49196;	⿰⿱止圼止
M-49197 	&I-M-49197;	
M-49198 	&I-M-49198;	⿰歹焉
M-49199 	&I-M-49199;	⿰𡱂殳
M-49200 	&I-M-49200;	⿹𣪊土
M-49201 	&M-49201;	⿱𭯍夬
M-49202 	&M-49202;	
M-49203 	&I-M-49203;	⿰旁毛
M-49204 	&I-M-49204;	⿰&JX1-764F;⿳己&GT-K02079;土
M-49205 	&I-M-49205;	⿰气虎
M-49206 	&I-M-49206;	⿰氵𠁽
M-49207 	&I-M-49207;	⿰仌水
M-49208 	&I-M-49208;	⿰氵丗
M-49209 	&M-49209;	
M-49210 	&M-49210;	
M-49211 	&M-49211;	
M-49212 	&M-49212;	
M-49213 	&M-49213;	⿰氵𤆍
M-49214 	&I-M-49214;	⿰氵𠄢
M-49215 	&I-M-49215;	⿰氵但
M-49216 	&I-M-49216;	⿰氵𠃬
M-49217 	&I-M-49217;	⿰氵卑
M-49218 	&I-M-49218;	⿰氵⿱⿵&CDP-8BC0;&CDP-8C78;日
M-49219 	&I-M-49219;	⿰氵㚔
M-49220 	&I-M-49220;	⿰氵&C1-4F2E;
M-49221 	&I-M-49221;	⿰氵㢴
M-49222 	&I-M-49222;	
M-49223 	&I-M-49223;	⿰氵𤼩
M-49224 	&I-M-49224;	⿰氵𠷎
M-49225 	&I-M-49225;	⿰氵&CB09373;
M-49226 	&I-M-49226;	⿰氵盟
M-49227 	&I-M-49227;	⿰氵&U-i011+58FD;
M-49228 	&M-49228;	
M-49229 	&M-49229;	
M-49230 	&I-M-49230;	⿰氵𦳝
M-49231 	&I-M-49231;	⿰潪亏
M-49232 	&I-M-49232;	⿰氵盥
M-49233 	&I-M-49233;	⿰氵⿰亻&CDP-85DA;
M-49234 	&I-M-49234;	⿰氵⿳⿵芙一日厶
M-49235 	&M-49235;	
M-49236 	&M-49236;	
M-49237 	&I-M-49237;	
M-49238 	&I-M-49238;	⿰氵儵
M-49239 	&M-49239;	⿰滜頁
M-49240 	&M-49240;	
M-49241 	&M-49241;	
M-49242 	&I-M-49242;	⿰氵豓
M-49243 	&I-M-49243;	⿰火𠄢
M-49244 	&M-49244;	⿰火⿱廿廾
M-49245 	&M-49245;	
M-49246 	&I-M-49246;	
M-49247 	&M-49247;	
M-49248 	&M-49248;	⿳止舟火
M-49249 	&M-49249;	⿰火𦤃
M-49250 	&I-M-49250;	⿱芻火
M-49251 	&M-49251;	⿳山火炅
M-49252 	&M-49252;	⿳炏冖丼
M-49253 	&I-M-49253;	⿰火&A-U-i001+2136F;
M-49254 	&I-M-49254;	⿱𠂹⿸厂火
M-49255 	&I-M-49255;	⿱喜火
M-49256 	&I-M-49256;	⿰炙坴
M-49257 	&I-M-49257;	⿱&U-i002+71D5;火
M-49258 	&I-M-49258;	⿰火𤊽
M-49259 	&I-M-49259;	⿳山&CDP-8B62;炎
M-49260 	&I-M-49260;	⿰火塵
M-49261 	&I-M-49261;	⿰火𡏳
