;; -*- coding: utf-8-mcs-er -*-
CB00141	&I-CB00141;	⿹勹匕
CB00142	&CB00142;	⿰厄&GT-21300;
CB00143	&CB00143;	⿱夭明
CB00144	&I-CB00144;	⿱少兔
CB00145	&CB00145;	⿱&GT-09425;兔
CB00146	&CB00146;	⿰&GT-35079;𠃌
CB00147	&I-CB00147;	⿸戶乙
CB00148	&CB00148;	⿸戶鳥
CB00149	&I-CB00149;	⿰斤斤
CB00150	&I-CB00150;	⿰日丙
CB00151	&I-CB00151;	⿰日交󠄁
CB00152	&I-CB00152;	⿰日吿
CB00153	&I-CB00153;	⿰日英
CB00154	&CB00154;	⿰日寮
CB00155	&CB00155;	⿱曰月
CB00156	&CB00156;	⿱曰正
CB00157	&CB00157;	⿰月&CDP-8CBE;
CB00158	&CB00158;	⿰月不
CB00159	&CB00159;	⿰月尤
CB00160	&CB00160;	⿰月永
CB00161	&CB00161;	⿰月色
CB00162	&CB00162;	⿰月弟
CB00163	&CB00163;	⿰月者
CB00164	&CB00164;	⿰月&GT-14816;
CB00165	&CB00165;	⿰月耑
CB00166	&CB00166;	⿰月&GT-11819;
CB00167	&CB00167;	⿰月&M-38901;
CB00168	&CB00168;	⿰月&M-31420;
CB00169	&CB00169;	⿰月劦
CB00170	&CB00170;	⿰月坒
CB00171	&CB00171;	⿰月咢
CB00172	&CB00172;	⿰月韱
CB00173	&CB00173;	&CB00173;
CB00174	&I-CB00174;	⿰木川
CB00175	&I-CB00175;	⿰木正
CB00176	&I-CB00176;	⿰木伐
CB00177	&I-CB00177;	⿰木百
CB00178	&I-CB00178;	⿰木奈
CB00179	&I-CB00179;	⿰木&GT-08917;
CB00180	&I-CB00180;	⿰木昌
CB00181	&I-CB00181;	⿰木品
CB00182	&I-CB00182;	⿰木&GT-08985;
CB00183	&I-CB00183;	⿰木畜
CB00184	&I-CB00184;	⿰木&M-45672;
CB00185	&I-CB00185;	⿰木患
CB00186	&I-CB00186;	⿰木&GT-36979;
CB00187	&I-CB00187;	⿰⺘著
CB00188	&CB00188;	⿰木&M-11617;
CB00189	&I-CB00189;	⿰木&GT-44848;
CB00190	&CB00190;	⿰木&C2-2B37;
CB00191	&I-CB00191;	⿰歹凶
CB00192	&I-CB00192;	⿰歹斯
CB00193	&I-CB00193;	⿰火𦓔
CB00194	&I-CB00194;	⿰火槀
CB00195	&I-CB00195;	⿰火因
CB00196	&I-CB00196;	⿰火臣
